SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,BASTIONES PRI,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,
5354,6,676,529,150,128,69,58,61,1083,FALSO,61,95,7,7,1,6,14,4,2,3,2954,1,65,3020,4140,18%
5355,6,599,505,63,90,56,35,32,622,FALSO,49,28,31,9,0,0,27,7,0,7,2160,0,100,2260,4092,22%
5356,4,452,500,69,63,31,28,25,636,FALSO,32,23,18,8,0,1,15,5,0,5,1911,0,69,1980,2741,25%
5357,3,318,212,51,27,5,13,5,226,FALSO,10,6,8,3,0,1,12,1,1,1,900,2,43,945,1578,22%
5358,3,509,227,83,48,27,17,10,269,FALSO,29,22,15,11,3,1,16,2,2,5,1296,2,68,1366,1955,17%
5359,5,662,559,140,79,46,41,16,665,FALSO,45,32,22,9,5,0,12,1,0,6,2340,1,83,2424,3446,23%
5360,3,377,312,93,64,28,24,29,514,FALSO,30,28,7,8,1,1,18,6,1,6,1547,0,50,1597,2210,20%
5361,3,436,305,86,51,37,27,13,310,FALSO,32,25,15,4,3,0,13,3,0,2,1362,0,59,1421,2125,21%
5362,8,925,738,211,107,50,72,61,1263,FALSO,77,75,36,5,6,6,32,6,3,13,3686,7,78,3771,5872,20%
5363,5,596,453,67,48,40,35,29,744,FALSO,40,32,13,0,0,1,10,4,0,2,2114,1,48,2163,2981,21%
5364,5,415,532,61,96,44,37,28,777,FALSO,41,48,7,3,1,1,26,7,0,8,2132,0,66,2198,3192,24%
5365,3,339,366,39,54,37,18,13,503,FALSO,38,29,13,3,1,0,25,4,1,3,1486,0,53,1539,2186,24%
5367,3,292,313,70,42,130,20,21,357,FALSO,24,23,18,3,3,0,22,3,4,5,1350,0,49,1399,2000,22%
5368,4,284,756,69,58,45,31,18,524,#¡CALC!,30,33,5,1,1,1,36,7,1,11,1911,1,76,1988,2974,38%
5369,3,319,339,54,46,30,48,23,420,FALSO,19,36,5,3,1,0,13,6,0,4,1366,0,69,1435,2015,24%
5370,4,346,579,82,77,35,37,28,505,#¡CALC!,44,29,7,4,2,0,23,4,0,4,1806,3,84,1893,2709,31%
5371,2,196,179,39,30,12,14,18,292,FALSO,26,21,2,0,1,0,12,4,0,2,848,0,21,869,1219,21%
5372,6,688,435,144,86,72,56,31,868,FALSO,52,63,15,4,1,1,26,1,2,5,2550,3,59,2612,3832,17%
5373,4,609,380,61,71,49,33,23,624,FALSO,45,44,13,1,2,0,22,5,0,8,1990,1,64,2055,2847,18%
5374,4,367,376,73,73,34,25,32,541,FALSO,36,20,14,5,1,0,23,5,0,7,1632,0,64,1696,2494,22%
5375,4,423,420,49,53,50,24,32,375,#¡CALC!,30,34,13,7,4,0,27,2,3,5,1551,1,47,1599,2381,26%
